# acf_x acf_y acf_t
-0.837185 -0.346053 0.450881
-0.833806 -0.345811 0.447416
-0.830244 -0.346540 0.443966
-0.826453 -0.344893 0.440505
-0.822421 -0.345053 0.437071
-0.818141 -0.345158 0.433633
-0.813576 -0.344633 0.430219
-0.808754 -0.343059 0.426828
-0.803771 -0.343950 0.423393
-0.798554 -0.341740 0.419990
-0.793140 -0.341278 0.416617
-0.787495 -0.338453 0.413251
-0.781389 -0.336792 0.409891
-0.775464 -0.336602 0.406553
-0.769088 -0.333795 0.403191
-0.762491 -0.332810 0.399835
-0.755676 -0.330436 0.396540
-0.748742 -0.330137 0.393234
-0.741471 -0.327374 0.389922
-0.733818 -0.325024 0.386635
-0.726424 -0.322837 0.383344
-0.718511 -0.321494 0.380073
-0.710412 -0.319341 0.376827
-0.702274 -0.315992 0.373585
-0.693655 -0.314815 0.370321
-0.684919 -0.311854 0.367116
-0.676133 -0.308543 0.363915
-0.667151 -0.304900 0.360729
-0.657722 -0.302651 0.357530
-0.648317 -0.300150 0.354351
-0.638610 -0.297250 0.351197
-0.628687 -0.293520 0.348036
-0.618670 -0.290201 0.344880
-0.608434 -0.286930 0.341777
-0.598145 -0.283600 0.338660
-0.587658 -0.278635 0.335546
-0.576754 -0.276243 0.332460
-0.565729 -0.270860 0.329393
-0.554731 -0.266776 0.326330
-0.543665 -0.263501 0.323315
-0.532171 -0.259619 0.320274
-0.520688 -0.255817 0.317243
-0.509004 -0.251520 0.314206
-0.497024 -0.247797 0.311191
-0.485034 -0.243470 0.308198
-0.473077 -0.239959 0.305237
-0.460863 -0.235088 0.302275
-0.448298 -0.230090 0.299305
-0.435602 -0.226408 0.296392
-0.422936 -0.221852 0.293459
-0.410182 -0.217262 0.290559
-0.397218 -0.214538 0.287675
-0.384172 -0.209135 0.284790
-0.371014 -0.203892 0.281929
-0.357724 -0.199348 0.279085
-0.344315 -0.193708 0.276236
-0.330705 -0.188633 0.273422
-0.317135 -0.184141 0.270607
-0.303345 -0.178579 0.267819
-0.289492 -0.173021 0.265045
-0.275625 -0.168091 0.262273
-0.261672 -0.162678 0.259514
-0.247560 -0.158246 0.256816
-0.233423 -0.152809 0.254098
-0.219092 -0.146402 0.251413
-0.204586 -0.142749 0.248732
-0.190259 -0.136276 0.246043
-0.175821 -0.130755 0.243429
-0.161255 -0.124968 0.240793
-0.146448 -0.118671 0.238184
-0.131791 -0.113771 0.235596
-0.116996 -0.107253 0.233029
-0.102219 -0.102786 0.230443
-0.087450 -0.095711 0.227914
-0.072468 -0.091181 0.225397
-0.057699 -0.084272 0.222904
-0.042515 -0.078999 0.220427
-0.027501 -0.073030 0.217963
-0.012647 -0.067418 0.215512
0.002565 -0.060378 0.213108
0.017565 -0.055067 0.210693
0.032538 -0.048502 0.208294
0.047814 -0.042919 0.205932
0.063151 -0.036634 0.203590
0.078126 -0.030099 0.201238
0.093214 -0.024371 0.198937
0.108281 -0.018671 0.196632
0.123530 -0.010828 0.194379
0.138737 -0.003765 0.192128
0.153851 0.001583 0.189873
0.168963 0.008247 0.187649
0.184088 0.014908 0.185473
0.199128 0.019581 0.183280
0.214233 0.026981 0.181104
0.229278 0.033216 0.178965
0.244169 0.039002 0.176865
0.258969 0.045855 0.174755
0.274082 0.052133 0.172659
0.288830 0.058200 0.170609
0.303729 0.064210 0.168602
0.318294 0.071776 0.166568
0.333050 0.078407 0.164538
0.347685 0.083512 0.162514
0.362077 0.091493 0.160526
0.376574 0.097911 0.158577
0.390971 0.105067 0.156624
0.405247 0.109481 0.154697
0.419357 0.116867 0.152794
0.433493 0.123390 0.150896
0.447560 0.130723 0.149015
0.461492 0.137386 0.147182
0.475086 0.142642 0.145368
0.489029 0.149728 0.143553
0.502504 0.155705 0.141758
0.515856 0.162088 0.139971
0.529111 0.169951 0.138206
0.542278 0.176359 0.136467
0.555331 0.182036 0.134734
0.568304 0.188634 0.133032
0.581036 0.193719 0.131340
0.593470 0.199635 0.129678
0.605948 0.206464 0.128036
0.618179 0.213241 0.126404
0.630383 0.218150 0.124796
0.642283 0.224169 0.123219
0.654162 0.230330 0.121608
0.665728 0.236581 0.120077
0.677101 0.242030 0.118539
0.688312 0.247478 0.117017
0.699485 0.253393 0.115509
0.710439 0.259031 0.114034
0.721080 0.262980 0.112589
0.731531 0.269370 0.111130
0.741860 0.274710 0.109731
0.751913 0.280047 0.108322
0.761912 0.285646 0.106949
0.771622 0.290131 0.105590
0.780971 0.295698 0.104257
0.790468 0.299825 0.102938
0.799367 0.304636 0.101642
0.808067 0.309443 0.100351
0.816707 0.313582 0.099088
0.825073 0.317327 0.097844
0.833311 0.322801 0.096611
0.840975 0.326935 0.095399
0.848666 0.330238 0.094203
0.856085 0.334421 0.093048
0.863153 0.338630 0.091915
0.870002 0.343936 0.090793
0.876757 0.345483 0.089680
0.883106 0.349428 0.088577
0.889332 0.352967 0.087518
0.895157 0.356318 0.086452
0.900740 0.359294 0.085429
0.906083 0.361671 0.084399
0.911072 0.364539 0.083396
0.915925 0.367175 0.082432
0.920358 0.369471 0.081455
0.924567 0.372676 0.080553
0.928503 0.375593 0.079650
0.932416 0.377027 0.078746
0.935570 0.380334 0.077864
0.938651 0.381000 0.076983
0.941603 0.382542 0.076114
0.944141 0.385545 0.075300
0.946189 0.385495 0.074489
0.948138 0.387119 0.073714
0.949831 0.388335 0.072948
0.951213 0.388070 0.072201
0.952303 0.388361 0.071489
0.952960 0.388352 0.070802
0.953481 0.389123 0.070112
0.953724 0.387694 0.069468
0.953631 0.388384 0.068858
0.953325 0.387962 0.068254
0.952516 0.388031 0.067656
0.951511 0.386599 0.067097
0.950205 0.386505 0.066566
0.948669 0.385493 0.066043
0.946769 0.386141 0.065538
0.944652 0.384464 0.065095
0.942282 0.382683 0.064640
0.939352 0.380502 0.064236
0.936378 0.379197 0.063857
0.933169 0.378059 0.063449
0.929509 0.375892 0.063096
0.925679 0.373182 0.062753
0.921433 0.371073 0.062460
0.916971 0.367620 0.062133
0.912359 0.365400 0.061875
0.907305 0.363046 0.061636
0.902080 0.359750 0.061414
0.896604 0.356354 0.061209
0.890836 0.353246 0.061032
0.884821 0.349373 0.060870
0.878306 0.346771 0.060717
0.871906 0.343949 0.060597
0.864986 0.339385 0.060507
0.858092 0.335462 0.060427
0.850822 0.331463 0.060387
0.843389 0.328019 0.060357
0.835452 0.322773 0.060345
0.827373 0.319224 0.060366
0.818892 0.314500 0.060402
0.810442 0.310582 0.060448
0.801869 0.306119 0.060507
0.792899 0.301337 0.060617
0.783602 0.297642 0.060781
0.774289 0.291772 0.060928
0.764618 0.287897 0.061081
0.754892 0.282848 0.061281
0.744773 0.276266 0.061480
0.734659 0.271138 0.061723
0.724202 0.266172 0.061997
0.713623 0.260132 0.062289
0.702717 0.255357 0.062583
0.691684 0.248981 0.062916
0.680511 0.244682 0.063265
0.669156 0.240174 0.063655
0.657733 0.232854 0.064075
0.645861 0.227935 0.064486
0.633882 0.221070 0.064901
0.621732 0.215957 0.065327
0.609682 0.208972 0.065771
0.597253 0.203996 0.066264
0.584655 0.197743 0.066782
0.572052 0.191986 0.067276
0.559249 0.185123 0.067830
0.546254 0.181518 0.068393
0.533201 0.172293 0.068978
0.519864 0.166896 0.069599
0.506541 0.160379 0.070226
0.493136 0.153226 0.070877
0.479432 0.145922 0.071522
0.465769 0.140592 0.072202
0.451916 0.134259 0.072908
0.437977 0.125160 0.073639
0.423902 0.119667 0.074377
0.409699 0.114175 0.075157
0.395392 0.107210 0.075924
0.381163 0.100894 0.076702
0.366680 0.093175 0.077522
0.352259 0.087711 0.078338
0.337563 0.081555 0.079217
0.323250 0.074222 0.080056
0.308473 0.067937 0.080958
0.293532 0.061314 0.081852
0.278728 0.054704 0.082775
0.263830 0.048764 0.083700
0.248984 0.041080 0.084654
0.233983 0.035423 0.085615
0.218837 0.028072 0.086597
0.203771 0.022045 0.087606
0.188735 0.015273 0.088626
0.173636 0.009275 0.089635
0.158442 0.002239 0.090703
0.143343 -0.002996 0.091787
0.128064 -0.010216 0.092851
0.112822 -0.016879 0.093941
0.097660 -0.023811 0.095048
0.082416 -0.028453 0.096169
0.067394 -0.035932 0.097310
0.051956 -0.043182 0.098453
0.036815 -0.048415 0.099612
0.021666 -0.055619 0.100811
0.006496 -0.062909 0.102000
-0.008668 -0.068193 0.103199
-0.023857 -0.074308 0.104423
-0.038850 -0.080955 0.105643
-0.054114 -0.086413 0.106895
-0.069212 -0.091914 0.108137
-0.084366 -0.099371 0.109396
-0.099311 -0.104169 0.110677
-0.114248 -0.109935 0.111943
-0.129027 -0.116111 0.113278
-0.143984 -0.121875 0.114599
-0.158809 -0.128346 0.115921
-0.173522 -0.134221 0.117271
-0.188345 -0.138496 0.118652
-0.202938 -0.144156 0.120039
-0.217429 -0.150075 0.121434
-0.231944 -0.154166 0.122796
-0.246441 -0.159788 0.124183
-0.260719 -0.166045 0.125556
-0.275029 -0.170677 0.126981
-0.289165 -0.175316 0.128382
-0.303185 -0.181556 0.129810
-0.317319 -0.185632 0.131278
-0.331089 -0.191170 0.132723
-0.344927 -0.196528 0.134163
-0.358570 -0.201737 0.135644
-0.372274 -0.204181 0.137088
-0.385610 -0.208941 0.138583
-0.399119 -0.213826 0.140088
-0.412442 -0.219660 0.141579
-0.425515 -0.224106 0.143094
-0.438572 -0.228152 0.144604
-0.451290 -0.231334 0.146139
-0.464253 -0.235891 0.147684
-0.476817 -0.240989 0.149216
-0.489289 -0.244899 0.150772
-0.501431 -0.248267 0.152350
-0.513835 -0.251502 0.153913
-0.525832 -0.254027 0.155495
-0.537671 -0.259339 0.157074
-0.549524 -0.262118 0.158660
-0.561039 -0.266310 0.160267
-0.572416 -0.269265 0.161859
-0.583900 -0.272412 0.163471
-0.594741 -0.275373 0.165106
-0.605742 -0.279966 0.166713
-0.616445 -0.282686 0.168323
-0.627207 -0.287650 0.169971
-0.637453 -0.289284 0.171623
-0.647616 -0.293522 0.173263
-0.657682 -0.293987 0.174923
-0.667525 -0.297137 0.176588
-0.677292 -0.300001 0.178258
-0.686683 -0.303645 0.179921
-0.696224 -0.305643 0.181621
-0.704987 -0.308937 0.183319
-0.713913 -0.310600 0.185011
-0.722788 -0.312951 0.186721
-0.731187 -0.315338 0.188437
-0.739468 -0.317143 0.190142
-0.747733 -0.318974 0.191861
-0.755419 -0.320874 0.193577
-0.762904 -0.323875 0.195309
-0.770376 -0.324096 0.197051
-0.777645 -0.327322 0.198771
-0.784613 -0.327144 0.200514
-0.791271 -0.329691 0.202248
-0.798000 -0.330343 0.204001
-0.804415 -0.330960 0.205762
-0.810518 -0.332112 0.207511
-0.816363 -0.331999 0.209260
-0.821960 -0.333541 0.211014
-0.827225 -0.334255 0.212806
-0.832503 -0.335632 0.214558
-0.837410 -0.337468 0.216387
-0.842053 -0.336040 0.218158
-0.846569 -0.335888 0.219908
-0.850729 -0.337813 0.221653
-0.854701 -0.337077 0.223424
-0.858481 -0.336210 0.225209
-0.861917 -0.336431 0.226975
-0.865141 -0.336502 0.228745
-0.867990 -0.335272 0.230530
-0.870714 -0.334598 0.232307
-0.873357 -0.335146 0.234101
-0.875468 -0.333288 0.235900
-0.877502 -0.333001 0.237697
-0.879219 -0.331198 0.239456
-0.880813 -0.330570 0.241275
-0.881792 -0.329382 0.243021
-0.882781 -0.327930 0.244826
-0.883476 -0.326107 0.246599
-0.884148 -0.323615 0.248366
-0.884271 -0.322509 0.250192
-0.884312 -0.320644 0.251971
-0.884132 -0.318557 0.253761
-0.883436 -0.317561 0.255571
-0.882928 -0.313916 0.257357
-0.881717 -0.312912 0.259152
-0.880418 -0.308998 0.260960
-0.878817 -0.307773 0.262733
-0.877049 -0.302799 0.264533
-0.874988 -0.301723 0.266291
-0.872513 -0.298281 0.268082
-0.870121 -0.295742 0.269900
-0.867312 -0.292175 0.271689
-0.864192 -0.289025 0.273446
-0.860982 -0.285178 0.275234
-0.857445 -0.281043 0.276995
-0.853590 -0.277070 0.278788
-0.849537 -0.272858 0.280549
-0.845305 -0.268363 0.282336
-0.840825 -0.263889 0.284094
-0.836098 -0.259538 0.285850
-0.831113 -0.256415 0.287600
-0.825784 -0.251443 0.289350
-0.820477 -0.247260 0.291091
-0.814807 -0.241640 0.292818
-0.808932 -0.237817 0.294560
-0.802840 -0.232153 0.296290
-0.796429 -0.227786 0.298021
-0.789946 -0.222066 0.299738
-0.783024 -0.216786 0.301443
-0.776014 -0.211705 0.303152
-0.768696 -0.206854 0.304871
-0.761142 -0.199927 0.306535
-0.753499 -0.195305 0.308230
-0.745720 -0.189547 0.309887
-0.737492 -0.183855 0.311561
-0.729325 -0.177276 0.313217
-0.720736 -0.171759 0.314884
-0.711875 -0.165389 0.316501
-0.703045 -0.159403 0.318135
-0.693784 -0.153282 0.319764
-0.684510 -0.146952 0.321398
-0.674878 -0.141126 0.323035
-0.665149 -0.133929 0.324570
-0.655339 -0.128777 0.326115
-0.645269 -0.120302 0.327665
-0.635189 -0.113838 0.329209
-0.624563 -0.107086 0.330733
-0.613929 -0.101067 0.332260
-0.603162 -0.092926 0.333779
-0.592275 -0.085572 0.335254
-0.581036 -0.078850 0.336760
-0.569950 -0.071600 0.338241
-0.558355 -0.064382 0.339704
-0.546766 -0.056935 0.341156
-0.534931 -0.050167 0.342571
-0.523039 -0.042789 0.343981
-0.511081 -0.034456 0.345393
-0.498761 -0.026839 0.346779
-0.486338 -0.018862 0.348192
-0.473775 -0.010620 0.349549
-0.461224 -0.003622 0.350892
-0.448328 0.006135 0.352210
-0.435294 0.013598 0.353541
-0.422275 0.020614 0.354857
-0.409208 0.028596 0.356109
-0.395801 0.036779 0.357397
-0.382539 0.045321 0.358636
-0.368919 0.053482 0.359881
-0.355316 0.062136 0.361103
-0.341613 0.070512 0.362312
-0.327653 0.077563 0.363513
-0.313818 0.087891 0.364692
-0.299657 0.094982 0.365831
-0.285482 0.104054 0.366971
-0.271170 0.112944 0.368098
-0.256862 0.121020 0.369203
-0.242569 0.130525 0.370288
-0.228041 0.138403 0.371358
-0.213389 0.147465 0.372420
-0.198670 0.155550 0.373430
-0.183943 0.165395 0.374456
-0.169231 0.173028 0.375427
-0.154417 0.181780 0.376421
-0.139537 0.190933 0.377377
-0.124407 0.199527 0.378309
-0.109334 0.208654 0.379206
-0.094401 0.217358 0.380090
-0.079238 0.227613 0.380956
-0.063955 0.234462 0.381832
-0.048800 0.244153 0.382646
-0.033450 0.253613 0.383478
-0.018194 0.261411 0.384262
-0.002993 0.271502 0.385041
0.012287 0.280285 0.385788
0.027786 0.290105 0.386525
0.043230 0.298041 0.387222
0.058590 0.307473 0.387904
0.073927 0.315260 0.388568
0.089397 0.325480 0.389205
0.104742 0.332566 0.389840
0.120266 0.341597 0.390454
0.135658 0.349438 0.391039
0.150920 0.360534 0.391586
0.166245 0.368235 0.392086
0.181725 0.377225 0.392545
0.197078 0.385603 0.393018
0.212339 0.396219 0.393454
0.227653 0.403712 0.393894
0.242822 0.412867 0.394266
0.258209 0.420864 0.394634
0.273259 0.428174 0.394969
0.288468 0.437367 0.395303
0.303599 0.445020 0.395616
0.318486 0.454959 0.395896
0.333710 0.462353 0.396132
0.348219 0.471197 0.396354
0.363133 0.478431 0.396551
0.377970 0.487271 0.396743
0.392542 0.496265 0.396908
0.407158 0.503395 0.397014
0.421673 0.511599 0.397123
0.436005 0.518585 0.397206
0.450288 0.526651 0.397288
0.464346 0.534299 0.397323
0.478467 0.541865 0.397331
0.492411 0.549658 0.397318
0.506432 0.556513 0.397264
0.520095 0.562992 0.397186
0.533701 0.571119 0.397081
0.546978 0.578591 0.396972
0.560314 0.585670 0.396818
0.573527 0.591998 0.396643
